date,type,qty_a,actif_a_id,price,qty_v,actif_v_id,destination,qty_f,actif_f_id,origin,value_f,value_a,id
04-04-24 06:24:00,Swap,219.3487,akash-network,4.2,921.26454,tether,KuCoin,1.8425,tether,,,4.2,106
07-04-24 00:53:00,Achat,4332.0,tether,0.9238,4001.9016,fiat_eur,Bitget,4.332,tether,,,1.0,107
12-04-24 20:32:00,Swap,96.1538,chainlink,15.6,1499.99928,tether,Bitget,0.0961538,chainlink,,,15.6,108
12-04-24 20:33:00,Swap,130.4909,render-token,7.25,946.059025,tether,Bitget,0.1304909,render-token,,,7.25,109
12-04-24 21:10:00,Transfert,999.9990972,tether,,,,KuCoin,0.29,tether,Bitget,,1.0,110
12-04-24 21:17:00,Swap,282.6385,akash-network,3.53,997.713905,tether,KuCoin,1.9954,tether,,,3.53,111
13-04-24 22:00:00,Swap,365853658.0,pepe,0.0000041,1499.9999978,tether,Bitget,365853.658,pepe,,,0.0000041,112
18-04-24 22:00:00,Depot,5000.0,fiat_eur,,,,Bitget,,,,,1.065643649,113
18-04-24 22:16:00,Achat,5328.0,tether,0.9384,4999.7952,fiat_eur,Bitget,5.328,tether,,,1.0,114
30-04-24 13:34:00,Swap,6100.0,clore-ai,0.165,1006.5,tether,Bitget,6.1,clore-ai,,,0.165,115
05-05-24 19:02:00,Swap,15000.0,ankr,0.0505,757.5,tether,Bitget,15.0,ankr,,,0.0505,116
05-05-24 21:09:00,Swap,2200.0,atlas-navi,0.232,510.4,tether,Bitget,2.2,atlas-navi,,,0.232,117
19-05-24 16:20:00,Swap,1590.713856,tether,0.0603864734299517,96.0576,chainlink,Bitget,1.59071385,tether,,,1.0,118
23-05-24 16:42:00,Swap,99.375,chainlink,16.0,1590.0,tether,Bitget,0.099375,chainlink,,,16.0,119
17-06-24 09:55:00,Swap,2630.0,ocean-protocol,0.58,1525.4,tether,Bitget,2.63,ocean-protocol,,,0.58,120
17-06-24 11:53:00,Swap,16000.0,ankr,0.0325,520.0,tether,Bitget,16.0,ankr,,,0.0325,121
18-06-24 03:19:00,Swap,3.5,bittensor,280.0,980.0,tether,Bitget,0.0035,bittensor,,,280.0,122
18-06-24 03:42:00,Swap,2500.0,the-graph,0.2,500.0,tether,Bitget,2.5,the-graph,,,0.2,123
25-06-24 10:00:00,Depot,5000.0,fiat_eur,,,,Bitget,,,,,1.070090958,124
26-06-24 08:37:00,Achat,2000.0,tether,0.9345,1869.0,fiat_eur,Bitget,2.0,tether,,,1.0,125
28-06-24 21:53:00,Swap,650.6506,immutable-x,1.5,975.9759,tether,Bitget,0.6506506,immutable-x,,,1.5,126
01-07-24 10:15:00,Swap,62562.57,nervos-network,0.012,750.75084,tether,Bitget,62.56257,nervos-network,,,0.012,127
04-07-24 04:10:00,Swap,1138.24499562,fetch-ai,2.30826404694086,2627.37,ocean-protocol,Bitget,,,,,1.221071681,128
29-07-24 13:45:00,Transfert,1443.73275,akash-network,,,,Keplr,0.2,akash-network,KuCoin,,3.2783,129
29-07-24 13:55:00,Mise en staking,1443.53275,akash-network,,,,Keplr,0.004297,akash-network,,,3.2783,130
31-07-24 11:35:00,Transfert,521.86,realio-network,,,,Ledger,0.2,realio-network,MEXC,,1.1627,131
01-08-24 17:15:00,Transfert,733.44169804,render-token,,,,Phantom,0.34077356,render-token,Bitget,,5.25,132
05-08-24 07:15:00,Achat,3418.0,tether,0.916,3130.888,fiat_eur,Bitget,3.418,tether,,,1.0,133
06-08-24 10:20:00,Swap,23.8,livepeer,10.5,249.9,tether,Bitget,0.0238,livepeer,,,10.5,134
