date,open,high,low,close,id,cg_id
26-06-2017,1.028475,1.04252,1.027415,1.041205,fiat_chf_26062017,fiat_chf
27-06-2017,1.04087,1.043935,1.03645,1.04199,fiat_chf_27062017,fiat_chf
28-06-2017,1.04223,1.04643,1.041705,1.04604,fiat_chf_28062017,fiat_chf
29-06-2017,1.04621,1.0468,1.04183,1.043285,fiat_chf_29062017,fiat_chf
30-06-2017,1.04621,1.0468,1.04183,1.043285,fiat_chf_30062017,fiat_chf
01-07-2017,1.04621,1.0468,1.04183,1.043285,fiat_chf_01072017,fiat_chf
02-07-2017,1.043015,1.04397,1.037015,1.037775,fiat_chf_02072017,fiat_chf
03-07-2017,1.0378,1.0393,1.035215,1.035795,fiat_chf_03072017,fiat_chf
04-07-2017,1.03651,1.03892,1.03215,1.037315,fiat_chf_04072017,fiat_chf
05-07-2017,1.037135,1.04154,1.03518,1.04104,fiat_chf_05072017,fiat_chf
06-07-2017,1.04113,1.04171,1.035785,1.037245,fiat_chf_06072017,fiat_chf
07-07-2017,1.04113,1.04171,1.035785,1.037245,fiat_chf_07072017,fiat_chf
08-07-2017,1.04113,1.04171,1.035785,1.037245,fiat_chf_08072017,fiat_chf
09-07-2017,1.03757,1.038415,1.03358,1.035585,fiat_chf_09072017,fiat_chf
10-07-2017,1.03552,1.03904,1.031315,1.037525,fiat_chf_10072017,fiat_chf
11-07-2017,1.037925,1.041385,1.03494,1.03591,fiat_chf_11072017,fiat_chf
12-07-2017,1.035885,1.039945,1.03228,1.0339,fiat_chf_12072017,fiat_chf
13-07-2017,1.03394,1.03856,1.03086,1.0378,fiat_chf_13072017,fiat_chf
14-07-2017,1.03394,1.03856,1.03086,1.0378,fiat_chf_14072017,fiat_chf
15-07-2017,1.03394,1.03856,1.03086,1.0378,fiat_chf_15072017,fiat_chf
16-07-2017,1.03765,1.04223,1.034835,1.039005,fiat_chf_16072017,fiat_chf
17-07-2017,1.03878,1.049985,1.03791,1.04707,fiat_chf_17072017,fiat_chf
18-07-2017,1.04833,1.049395,1.045915,1.04645,fiat_chf_18072017,fiat_chf
19-07-2017,1.046925,1.053365,1.03779,1.05121,fiat_chf_19072017,fiat_chf
20-07-2017,1.051225,1.059465,1.050055,1.05733,fiat_chf_20072017,fiat_chf
